"날짜","제품명","유형","고객문의","답변내용","담당자"
"2025-06-19","프로 충전기 Z","기능/사용법","프로 충전기 Z는 GaN(질화갈륨) 소재를 사용한 충전기인가요? 발열은 어느 정도인가요?","네, 맞습니다. 프로 충전기 Z는 차세대 전력 반도체인 GaN 소재를 사용하여 기존 충전기 대비 크기는 줄이고 에너지 효율은 높였습니다. 고속 충전 시 미지근한 정도의 발열은 정상적인 현상이며, 과열 방지 회로가 내장되어 있어 안전하게 사용하실 수 있습니다.","김민준"
"2025-06-19","네오 키보드 Max8","호환성","네오 키보드 Max8을 삼성 DeX 환경에서 사용하고 싶은데, 기능키(F1~F12)가 정상적으로 작동하나요?","네, 네오 키보드 Max8은 삼성 DeX 환경과 완벽하게 호환됩니다. DeX 모드에서 밝기 조절, 소리 조절, 미디어 제어 등 다양한 기능키를 일반 PC와 동일하게 사용하실 수 있습니다.","이서연"
"2025-06-18","에코 글래스 Lite1","AS/교환/환불","에코 글래스 Lite1의 안경다리가 부러졌습니다. 수리가 가능한가요?","안경다리 파손의 경우, 저희 AS 센터를 통해 유상으로 수리가 가능합니다. 고객센터로 접수해 주시면 제품을 수거하여 수리 비용과 기간을 안내해 드리겠습니다. 보증기간(1년) 이내라도 사용자 과실에 의한 파손은 유상 처리되는 점 양해 부탁드립니다.","박도윤"
"2025-06-18","에코 센서 Go","연결/설치","에코 센서 Go를 여러 개 구매해서 각기 다른 방에 두었는데, 앱에서 구분이 안됩니다.","네, 고객님. 전용 앱의 '기기 관리' 메뉴에서 각 센서의 이름을 변경하실 수 있습니다. '안방 센서', '거실 센서', '아이 방 센서'와 같이 위치를 쉽게 알 수 있는 이름으로 설정하시면 편리하게 관리하실 수 있습니다.","최지우"
"2025-06-17","무선 카메라 Z","보안/기타","무선 카메라 Z의 녹화 영상을 가족과 공유해서 같이 볼 수 있나요?","네, 가능합니다. 전용 앱의 '기기 공유' 기능으로 가족 구성원의 계정을 초대하여 카메라 접근 권한을 공유할 수 있습니다. 실시간 영상 확인, 녹화 영상 재생 등 공유받은 가족도 동일하게 카메라 기능을 사용할 수 있습니다.","정하은"
"2025-06-17","고성능 플랫폼 Ultra8","기능/사용법","고성능 플랫폼 Ultra8에 윈도우 11 Pro 버전을 설치해도 되나요? 드라이버는 어디서 받나요?","네, 고성능 플랫폼 Ultra8은 윈도우 11 Home 및 Pro 버전과 모두 호환됩니다. 운영체제 설치 후, 저희 공식 홈페이지의 '다운로드 센터'에서 'Ultra8' 모델을 검색하시면 최신 드라이버와 유틸리티를 한 번에 설치할 수 있는 통합 인스톨러를 제공하고 있습니다.","김민준"
"2025-06-16","네오 워치 Pro","기능/사용법","네오 워치 Pro의 AOD(Always On Display) 기능은 배터리 소모에 영향이 큰가요?","AOD 기능을 활성화하면 시간 등 주요 정보를 항상 확인할 수 있어 편리하지만, 디스플레이가 계속 켜져 있어 배터리 소모량이 약 30~40% 증가할 수 있습니다. 배터리 사용 시간을 최대한 늘리고 싶으시다면, 손목을 들어 올릴 때 화면이 켜지는 '들어 올려 깨우기' 기능 사용을 권장합니다.","이서연"
"2025-06-16","에코 글래스 Pro2","호환성","에코 글래스 Pro2에 도수 렌즈를 맞추고 싶은데, 어떤 안경원에 가야 하나요?","에코 글래스 Pro2는 대부분의 안경원에서 도수 렌즈 가공 및 장착이 가능합니다. 저희와 제휴된 '공식 파트너 안경원' 리스트를 홈페이지에서 확인하실 수 있으며, 파트너 안경원을 방문하시면 더욱 정확하고 전문적인 상담 및 서비스를 받으실 수 있습니다.","박도윤"
"2025-06-15","울트라 스피커 Z10","연결/설치","울트라 스피커 Z10을 와이파이 메시(Mesh) 공유기 환경에서 사용해도 되나요?","네, 울트라 스피커 Z10은 와이파이 메시 환경을 완벽하게 지원합니다. 집안 어디에서나 가장 신호가 강한 AP에 자동으로 연결되어 끊김 없는 스트리밍 음악 감상이 가능합니다.","최지우"
"2025-06-15","스마트 모니터 X8","기능/사용법","스마트 모니터 X8은 PC 연결 없이도 넷플릭스나 유튜브를 볼 수 있나요?","네, 맞습니다. 스마트 모니터 X8은 자체 OS(운영체제)와 와이파이 기능이 내장되어 있어 PC에 연결하지 않아도 단독으로 넷플릭스, 유튜브, 디즈니+ 등 다양한 OTT 서비스를 리모컨으로 바로 실행하여 감상할 수 있는 스마트 TV 겸용 모니터입니다.","정하은"
"2025-06-14","네오 시스템","AS/교환/환불","네오 시스템을 구매했는데, 사양이 마음에 들지 않아 다른 모델로 교환하고 싶습니다.","네, 고객님. 제품 수령 후 7일 이내, 미개봉 상태인 경우에 한해 다른 모델로의 교환이나 환불이 가능합니다. 이미 제품을 개봉하고 사용하셨다면 재판매가 어려워 교환/환불에 제한이 있을 수 있는 점 양해 부탁드립니다.","김민준"
"2025-06-14","에코 글래스 Max2","기능/사용법","에코 글래스 Max2의 증강현실(AR) 기능은 어떤 것들이 있나요?","에코 글래스 Max2는 길안내 내비게이션, 실시간 번역, 메시지 확인 등 기본적인 AR 기능 외에도, 가상 스크린을 공간에 띄워 영상을 감상하거나, 3D 모델링 데이터를 현실 공간에 배치하여 확인하는 등 한층 더 진보된 AR 경험을 제공합니다.","이서연"
